# TIME, TIK, DC, UA, U1, IL, Iset, ERROR
2.390561079978942871e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.023000000000000043e+01,2.050000000000000000e+01,2.700000000000000178e-01
2.440459227561950684e+01,0.000000000000000000e+00,1.250000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.008999999999999986e+01,2.050000000000000000e+01,4.099999999999999756e-01
2.484201931953430176e+01,0.000000000000000000e+00,1.300000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.057999999999999829e+01,2.439999999999999858e+01,3.819999999999999840e+00
2.518795824050903320e+01,0.000000000000000000e+00,1.310000000000000000e+02,7.800000000000000266e-01,1.060000000000000053e+00,2.130999999999999872e+01,2.439999999999999858e+01,3.089999999999999858e+00
2.568198680877685547e+01,0.000000000000000000e+00,1.330000000000000000e+02,7.900000000000000355e-01,1.070000000000000062e+00,2.175000000000000000e+01,2.439999999999999858e+01,2.649999999999999911e+00
2.612760186195373535e+01,0.000000000000000000e+00,1.360000000000000000e+02,8.000000000000000444e-01,1.090000000000000080e+00,2.185000000000000142e+01,2.439999999999999858e+01,2.549999999999999822e+00
2.661500525474548340e+01,0.000000000000000000e+00,1.370000000000000000e+02,8.100000000000000533e-01,1.100000000000000089e+00,2.219000000000000128e+01,2.439999999999999858e+01,2.209999999999999964e+00
2.712902212142944336e+01,0.000000000000000000e+00,1.390000000000000000e+02,8.199999999999999512e-01,1.110000000000000098e+00,2.214000000000000057e+01,2.439999999999999858e+01,2.259999999999999787e+00
2.748152852058410645e+01,0.000000000000000000e+00,1.410000000000000000e+02,8.299999999999999600e-01,1.120000000000000107e+00,2.223999999999999844e+01,2.439999999999999858e+01,2.160000000000000142e+00
2.794398546218872070e+01,0.000000000000000000e+00,1.430000000000000000e+02,8.299999999999999600e-01,1.139999999999999902e+00,2.228999999999999915e+01,2.439999999999999858e+01,2.109999999999999876e+00
2.843944001197814941e+01,0.000000000000000000e+00,1.450000000000000000e+02,8.399999999999999689e-01,1.139999999999999902e+00,2.239000000000000057e+01,2.439999999999999858e+01,2.009999999999999787e+00
2.882332372665405273e+01,0.000000000000000000e+00,1.460000000000000000e+02,8.499999999999999778e-01,1.159999999999999920e+00,2.248000000000000043e+01,2.439999999999999858e+01,1.919999999999999929e+00
2.928922510147094727e+01,0.000000000000000000e+00,1.480000000000000000e+02,8.499999999999999778e-01,1.169999999999999929e+00,2.287000000000000099e+01,2.439999999999999858e+01,1.530000000000000027e+00
2.979355883598327637e+01,0.000000000000000000e+00,1.490000000000000000e+02,8.599999999999999867e-01,1.169999999999999929e+00,2.278000000000000114e+01,2.439999999999999858e+01,1.620000000000000107e+00
3.015947341918945312e+01,0.000000000000000000e+00,1.510000000000000000e+02,8.699999999999999956e-01,1.179999999999999938e+00,2.278000000000000114e+01,2.439999999999999858e+01,1.620000000000000107e+00
3.062479043006896973e+01,0.000000000000000000e+00,1.520000000000000000e+02,8.699999999999999956e-01,1.189999999999999947e+00,2.296999999999999886e+01,2.439999999999999858e+01,1.429999999999999938e+00
3.111819076538085938e+01,0.000000000000000000e+00,1.530000000000000000e+02,8.800000000000000044e-01,1.199999999999999956e+00,2.312000000000000099e+01,2.439999999999999858e+01,1.280000000000000027e+00
3.158060312271118164e+01,0.000000000000000000e+00,1.550000000000000000e+02,8.800000000000000044e-01,1.199999999999999956e+00,2.273000000000000043e+01,2.439999999999999858e+01,1.669999999999999929e+00
3.205265951156616211e+01,0.000000000000000000e+00,1.560000000000000000e+02,8.900000000000000133e-01,1.209999999999999964e+00,2.317000000000000171e+01,2.439999999999999858e+01,1.229999999999999982e+00
